Sea-charts	Sea-charts	j	Sea-charts	sea-charts	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
South	South	n1	South	south	0
sea	sea	n1	sea	sea	0
taken	taken	vvn	taken	take	0
.	.	.	.	.	1
They	They	pns32	They	they	0
arrive	arrive	vvb	arrive	arrive	0
at	at	p-acp	at	at	0
Guatuko	Guatuko	np1	Guatuko	Guatuko	0
.	.	.	.	.	1
A	A	dt	A	a	0
prill	prill	n1	prill	prill	0
13.	13.	crd	13.	13.	1
Stilo	Stilo	np1	Stilo	Stilo	0
novo	novo	fw-la	novo	novo	0
.	.	.	.	.	1
Nuno	Nuno	np1	Nuno	Nuno	0
da	da	zz	da	da	0
Silva	Silva	np1	Silva	Silva	0
set	set	vvn	set	set	0
on	on	p-acp	on	on	0
land	land	n1	land	land	0
.	.	.	.	.	1
[	[	[	[	[	0
HI	HI	pno31	HIM	he	0
-	-	-	-	-	0
748.	748.	crd	748.	748.	0
]	]	]	]	]	1
THE	THE	dt	THE	the	0
ENGLISH	ENGLISH	jp	ENGLISH	english	0
VOYAGES	VOYAGES	n2	VOYAGES	voyage	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
governour	governour	n1	governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Philippinas	Philippinas	npg1	Philippinas	philippinas	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
the	the	dt	the	the	0
sea-cards	sea-cards	n2	sea-cards	sea-card	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
direct	direct	vvi	direct	direct	0
themselves	themselves	px32	themselves	themselves	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
course	course	n1	course	course	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
sailing	sailing	vvg	sailing	sail	0
untill	untill	p-acp	until	until	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
of	of	pp-f	of	of	0
Aprill	Aprill	np1	Aprill	April	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
evening	evening	n1	evening	evening	0
they	they	pns32	they	they	0
discovered	discovered	vvd	discovered	discover	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
that	that	cst	that	that	0
held	held	vvd	held	hold	0
two	two	crd	two	two	0
leagues	leagues	n2	leagues	league	0
to	to	p-acp	to	to	0
